WKT,State,statecode,District,districtcode,Sub-District,subdistrictcode,townname,towncode,urbanity,no_of_hh,population,popgrp,fmcg_retailer,latitude,longitude,coordinate
POINT (80.2202802 26.1283358),UTTAR PRADESH,10,Kanpur Nagar,53,Ghatampur ,92,Paras,525,Rural,1871,9774,7K - 10K,1,26.1283358,80.2202802,26.1283358 80.2202802
POINT (80.2377078 26.1521845),UTTAR PRADESH,10,Kanpur Nagar,53,Ghatampur ,92,Itarra,526,Rural,1143,5652,5K - 7K,,26.1521845,80.2377078,26.1521845 80.2377078
POINT (80.1261093 26.1679307),UTTAR PRADESH,10,Kanpur Nagar,53,Ghatampur ,92,Raha,527,Rural,774,4259,4K - 5K,1,26.1679307,80.1261093,26.1679307 80.1261093
POINT (80.2516473 26.1911429),UTTAR PRADESH,10,Kanpur Nagar,53,Ghatampur ,92,Behta Bujurg,528,Rural,684,3681,3K - 4K,,26.1911429,80.2516473,26.1911429 80.2516473
POINT (80.4886147 26.2842027),UTTAR PRADESH,10,Kanpur Nagar,53,Kanpur ,93,Sarsaul,529,Rural,3189,16887,10K - 20K,1,26.2842027,80.4886147,26.2842027 80.4886147
POINT (80.3955911 26.4176863),UTTAR PRADESH,10,Kanpur Nagar,53,Kanpur ,93,Chakeri (CT),530,Urban,2109,7526,3K - 12K,1,26.4176863,80.3955911,26.4176863 80.3955911
POINT (80.4521216 26.3391434),UTTAR PRADESH,10,Kanpur Nagar,53,Kanpur ,93,Hathi Pur,531,Rural,1236,6850,5K - 7K,1,26.3391434,80.4521216,26.3391434 80.4521216
POINT (80.491047 26.2481773),UTTAR PRADESH,10,Kanpur Nagar,53,Kanpur ,93,Bara Gaon,532,Rural,797,4144,4K - 5K,,26.2481773,80.491047,26.2481773 80.491047
POINT (80.4354337 26.3087942),UTTAR PRADESH,10,Kanpur Nagar,53,Kanpur ,93,Phuphuwarrajthok,533,Rural,566,3027,3K - 4K,1,26.3087942,80.4354337,26.3087942 80.4354337
POINT (80.9070072 26.7546315),UTTAR PRADESH,10,Lucknow,54,Lucknow,94,Bijnor,534,Rural,2515,14105,10K - 20K,1,26.7546315,80.9070072,26.7546315 80.9070072
POINT (80.9396787 26.7232651),UTTAR PRADESH,10,Lucknow,54,Lucknow,94,Kalli Pashchim (CT),535,Urban,2307,12157,12K - 20K,1,26.7232651,80.9396787,26.7232651 80.9396787
POINT (80.7824012 26.7028061),UTTAR PRADESH,10,Lucknow,54,Lucknow,94,Bhat Goan,536,Rural,1353,7131,7K - 10K,,26.7028061,80.7824012,26.7028061 80.7824012
POINT (80.8464896 26.7218659),UTTAR PRADESH,10,Lucknow,54,Lucknow,94,Miranpur Pinvat,537,Rural,888,4656,4K - 5K,1,26.7218659,80.8464896,26.7218659 80.8464896
POINT (80.9830677 26.7846945),UTTAR PRADESH,10,Lucknow,54,Lucknow,94,Harihar Pur,538,Rural,700,3668,3K - 4K,,26.7846945,80.9830677,26.7846945 80.9830677
POINT (80.946166 26.8466937),UTTAR PRADESH,10,Lucknow,54,Mohanlalganj ,95,Utrawan,539,Rural,1586,8316,7K - 10K,1,26.8466937,80.946166,26.8466937 80.946166
POINT (81.0181821 26.6324937),UTTAR PRADESH,10,Lucknow,54,Mohanlalganj ,95,Kankaha,540,Rural,1241,6460,5K - 7K,1,26.6324937,81.0181821,26.6324937 81.0181821
POINT (81.0782253 26.5843933),UTTAR PRADESH,10,Lucknow,54,Mohanlalganj ,95,Meerakh Nagar,541,Rural,823,4260,4K - 5K,,26.5843933,81.0782253,26.5843933 81.0782253
POINT (80.946166 26.8466937),UTTAR PRADESH,10,Lucknow,54,Mohanlalganj ,95,Nagram,542,Rural,673,3485,3K - 4K,1,26.8466937,80.946166,26.8466937 80.946166
POINT (77.8095661 29.0470199),UTTAR PRADESH,10,Meerut,55,Meerut,96,Incholi,543,Rural,2320,14914,10K - 20K,1,29.0470199,77.8095661,29.0470199 77.8095661
POINT (77.8109958 29.077222),UTTAR PRADESH,10,Meerut,55,Meerut,96,Khardoni Shekhupur,544,Rural,860,6196,5K - 7K,,29.077222,77.8109958,29.077222 77.8109958
POINT (77.747354 29.0191044),UTTAR PRADESH,10,Meerut,55,Meerut,96,Amehra Adipur (CT),545,Urban,957,5485,3K - 12K,1,29.0191044,77.747354,29.0191044 77.747354
POINT (77.7702406 29.0111853),UTTAR PRADESH,10,Meerut,55,Meerut,96,Rajpura,546,Rural,886,4645,4K - 5K,1,29.0111853,77.7702406,29.0111853 77.7702406
POINT (77.8510213 29.0465181),UTTAR PRADESH,10,Meerut,55,Meerut,96,Kunkura,547,Rural,529,3438,3K - 4K,1,29.0465181,77.8510213,29.0465181 77.8510213
POINT (82.828045 25.4864782),UTTAR PRADESH,10,Varanasi,56,Pindra,97,Pindara,548,Rural,2278,15257,10K - 20K,1,25.4864782,82.828045,25.4864782 82.828045
POINT (82.8290551 25.4434535),UTTAR PRADESH,10,Varanasi,56,Pindra,97,Basni,549,Rural,1377,9421,7K - 10K,,25.4434535,82.8290551,25.4434535 82.8290551
POINT (82.8075032 25.5307476),UTTAR PRADESH,10,Varanasi,56,Pindra,97,Karkhiyaon,550,Rural,713,4817,4K - 5K,1,25.5307476,82.8075032,25.5307476 82.8075032
POINT (82.8829048 25.4696364),UTTAR PRADESH,10,Varanasi,56,Pindra,97,Amaut,551,Rural,584,3896,3K - 4K,,25.4696364,82.8829048,25.4696364 82.8829048
POINT (82.9695617 25.3390712),UTTAR PRADESH,10,Varanasi,56,Varanasi,98,Varanasi (CB),552,Urban,2760,14119,12K - 20K,1,25.3390712,82.9695617,25.3390712 82.9695617
POINT (82.9756933 25.3754042),UTTAR PRADESH,10,Varanasi,56,Varanasi,98,Lalpur,553,Rural,1377,7864,7K - 10K,,25.3754042,82.9756933,25.3754042 82.9756933
POINT (82.9551311 25.2815185),UTTAR PRADESH,10,Varanasi,56,Varanasi,98,Bhullanpur,554,Rural,1066,6419,5K - 7K,1,25.2815185,82.9551311,25.2815185 82.9551311
POINT (83.0240532 25.3158109),UTTAR PRADESH,10,Varanasi,56,Varanasi,98,Domari,555,Rural,730,4924,4K - 5K,,25.3158109,83.0240532,25.3158109 83.0240532
POINT (82.9441275 25.3485211),UTTAR PRADESH,10,Varanasi,56,Varanasi,98,Bhawanipur,556,Rural,650,3887,3K - 4K,1,25.3485211,82.9441275,25.3485211 82.9441275
POINT (83.0455351 25.3404056),UTTAR PRADESH,10,Varanasi,56,Varanasi,98,Khalispur,557,Rural,604,3657,3K - 4K,,25.3404056,83.0455351,25.3404056 83.0455351
